Dependency register
Normalized edge list for eligibility calculation. Conditional exceptions are stated explicitly.
,,,,,,,,

Dependency ID,Predecessor ID,Successor ID,Relation,Hard Dependency,Required State,Condition,Source,Notes
DEP-0039,P2.9,P2.1,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P2.1,
DEP-0040,G1,P2.2,unlocks,yes,passed,May use P2.9 synthetic tracking after G0 until real-pose evidence is required.,ELTS Build Plan P2.2,
DEP-0041,G0,P2.2,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P2.2,
DEP-0042,P2.9,P2.2,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P2.2,
DEP-0043,P2.1,P2.2,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P2.2,
DEP-0044,D-12,P2.2,blocks,yes,decided,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P2.2,
DEP-0045,G1,P2.3,unlocks,yes,passed,May use P2.9 synthetic tracking after G0 until real-pose evidence is required.,ELTS Build Plan P2.3,
DEP-0046,G0,P2.3,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P2.3,
DEP-0047,P2.9,P2.3,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P2.3,
DEP-0048,P1.5,P2.3,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P2.3,
DEP-0049,P1.6,P2.3,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P2.3,
DEP-0050,P1.7,P2.3,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P2.3,
DEP-0051,P1.8,P2.3,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P2.3,
DEP-0052,P1.9,P2.3,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P2.3,
DEP-0053,P2.1,P2.3,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P2.3,
DEP-0054,P2.2,P2.3,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P2.3,
DEP-0055,G1,P2.4,unlocks,yes,passed,May use P2.9 synthetic tracking after G0 until real-pose evidence is required.,ELTS Build Plan P2.4,
DEP-0056,G0,P2.4,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P2.4,
DEP-0057,P2.9,P2.4,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P2.4,
DEP-0058,P2.1,P2.4,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P2.4,
DEP-0059,G1,P2.5,unlocks,yes,passed,May use P2.9 synthetic tracking after G0 until real-pose evidence is required.,ELTS Build Plan P2.5,
DEP-0060,G0,P2.5,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P2.5,
DEP-0061,P2.9,P2.5,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P2.5,
DEP-0062,P2.2,P2.5,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P2.5,
DEP-0063,P2.3,P2.5,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P2.5,
DEP-0064,G1,P2.6,unlocks,yes,passed,May use P2.9 synthetic tracking after G0 until real-pose evidence is required.,ELTS Build Plan P2.6,
DEP-0065,G0,P2.6,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P2.6,
DEP-0066,P2.9,P2.6,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P2.6,
DEP-0067,P2.2,P2.6,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P2.6,
DEP-0068,P2.5,P2.6,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P2.6,
DEP-0069,G1,P2.7,unlocks,yes,passed,May use P2.9 synthetic tracking after G0 until real-pose evidence is required.,ELTS Build Plan P2.7,
DEP-0070,G0,P2.7,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P2.7,
DEP-0071,P2.9,P2.7,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P2.7,
DEP-0072,P2.2,P2.7,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P2.7,
DEP-0073,P2.4,P2.7,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P2.7,
DEP-0074,G1,P2.8,unlocks,yes,passed,May use P2.9 synthetic tracking after G0 until real-pose evidence is required.,ELTS Build Plan P2.8,
DEP-0075,G0,P2.8,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P2.8,
DEP-0076,P2.9,P2.8,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P2.8,
DEP-0077,P2.5,P2.8,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P2.8,
DEP-0078,P2.6,P2.8,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P2.8,
DEP-0079,G1,P2.9,unlocks,yes,passed,May use P2.9 synthetic tracking after G0 until real-pose evidence is required.,ELTS Build Plan P2.9,
DEP-0080,G0,P2.9,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P2.9,
DEP-0081,P2.9,P2.9,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P2.9,
DEP-0082,P2.1,P2.9,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P2.9,
DEP-0083,P2.2,P2.9,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P2.9,
DEP-0084,G2,P3.1,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P3.1,
DEP-0085,P1.14,P3.1,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P3.1,
DEP-0086,G2,P3.2,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P3.2,
DEP-0087,P1.14,P3.2,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P3.2,
DEP-0088,P2.3,P3.2,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P3.2,
DEP-0089,P2.4,P3.2,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P3.2,
DEP-0090,P3.1,P3.2,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P3.2,
DEP-0091,G2,P3.3,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P3.3,
DEP-0092,P1.14,P3.3,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P3.3,
DEP-0093,P3.2,P3.3,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P3.3,
DEP-0094,P1.13,P3.3,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P3.3,
DEP-0095,G2,P3.4,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P3.4,
DEP-0096,P1.14,P3.4,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P3.4,
DEP-0097,P2.3,P3.4,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P3.4,
DEP-0098,P2.4,P3.4,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P3.4,
DEP-0099,P3.1,P3.4,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P3.4,
DEP-0100,G2,P3.5,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P3.5,
DEP-0101,P1.14,P3.5,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P3.5,
DEP-0102,P1.10,P3.5,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P3.5,
DEP-0103,G2,P3.6,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P3.6,
DEP-0104,P1.14,P3.6,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P3.6,
DEP-0105,P3.2,P3.6,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P3.6,
DEP-0106,P2.5,P3.6,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P3.6,
DEP-0107,G2,P3.7,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P3.7,
DEP-0108,P1.14,P3.7,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P3.7,
DEP-0109,P3.2,P3.7,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P3.7,
DEP-0110,P3.4,P3.7,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P3.7,
DEP-0111,G2,P3.8,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P3.8,
DEP-0112,P1.14,P3.8,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P3.8,
DEP-0113,P2.5,P3.8,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P3.8,
DEP-0114,P3.4,P3.8,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P3.8,
DEP-0115,G3,P4.1,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.1,
DEP-0116,G3,P4.2,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.2,
DEP-0117,P4.1,P4.2,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.2,
DEP-0118,P2.7,P4.2,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.2,
DEP-0119,G3,P4.3,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.3,
DEP-0120,P4.1,P4.3,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.3,
DEP-0121,D-04,P4.3,blocks,yes,decided,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.3,
DEP-0122,G3,P4.4,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.4,
DEP-0123,P4.1,P4.4,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.4,
DEP-0124,P2.4,P4.4,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.4,
DEP-0125,G3,P4.5,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.5,
DEP-0126,P2.3,P4.5,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.5,
DEP-0127,P2.4,P4.5,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.5,
DEP-0128,P4.1,P4.5,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.5,
DEP-0129,D-05,P4.5,blocks,yes,decided,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.5,
DEP-0130,G3,P4.6,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.6,
DEP-0131,P2.6,P4.6,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.6,
DEP-0132,P4.5,P4.6,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.6,
DEP-0133,G3,P4.7,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.7,
DEP-0134,P4.1,P4.7,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.7,
DEP-0135,D-06,P4.7,blocks,yes,decided,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.7,
DEP-0136,G3,P4.8,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.8,
DEP-0137,D-07,P4.8,blocks,yes,decided,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.8,
DEP-0138,G3,P4.9,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.9,
DEP-0139,P4.8,P4.9,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.9,
DEP-0140,D-08,P4.9,blocks,yes,decided,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.9,
DEP-0141,G3,P4.10,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.10,
DEP-0142,P4.8,P4.10,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.10,
DEP-0143,P4.9,P4.10,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.10,
DEP-0144,G3,P4.11,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.11,
DEP-0145,P4.10,P4.11,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.11,
DEP-0146,D-12,P4.11,blocks,yes,decided,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.11,
DEP-0147,G3,P4.12,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.12,
DEP-0148,P2.1,P4.12,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.12,
DEP-0149,P2.3,P4.12,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.12,
DEP-0150,P2.5,P4.12,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.12,
DEP-0151,P3.5,P4.12,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.12,
DEP-0152,G3,P4.13,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.13,
DEP-0153,P4.1,P4.13,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.13,
DEP-0154,P4.2,P4.13,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.13,
DEP-0155,P4.3,P4.13,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.13,
DEP-0156,P4.4,P4.13,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.13,
DEP-0157,P4.5,P4.13,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.13,
DEP-0158,P4.6,P4.13,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.13,
DEP-0159,P4.7,P4.13,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.13,
DEP-0160,P4.8,P4.13,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.13,
DEP-0161,P4.9,P4.13,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.13,
DEP-0162,P4.10,P4.13,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.13,
DEP-0163,P4.11,P4.13,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.13,
DEP-0164,P4.12,P4.13,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P4.13,
DEP-0165,G4,P5.1,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.1,
DEP-0166,P1.13,P5.1,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.1,
DEP-0167,P1.11,P5.1,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.1,
DEP-0168,P1.12,P5.1,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.1,
DEP-0169,G4,P5.2,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.2,
DEP-0170,P1.13,P5.2,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.2,
DEP-0171,G4,P5.3,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.3,
DEP-0172,P1.13,P5.3,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.3,
DEP-0173,P5.2,P5.3,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.3,
DEP-0174,D-17,P5.3,blocks,yes,decided,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.3,
DEP-0175,G4,P5.4,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.4,
DEP-0176,P1.13,P5.4,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.4,
DEP-0177,P5.2,P5.4,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.4,
DEP-0178,P5.3,P5.4,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.4,
DEP-0179,G4,P5.5,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.5,
DEP-0180,P1.13,P5.5,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.5,
DEP-0181,P5.2,P5.5,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.5,
DEP-0182,G4,P5.6,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.6,
DEP-0183,P1.13,P5.6,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.6,
DEP-0184,P5.2,P5.6,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.6,
DEP-0185,P5.5,P5.6,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.6,
DEP-0186,D-17,P5.6,blocks,yes,decided,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.6,
DEP-0187,G4,P5.7,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.7,
DEP-0188,P1.13,P5.7,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.7,
DEP-0189,P5.1,P5.7,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.7,
DEP-0190,P5.2,P5.7,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.7,
DEP-0191,P5.4,P5.7,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.7,
DEP-0192,G4,P5.8,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.8,
DEP-0193,P1.13,P5.8,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.8,
DEP-0194,P5.4,P5.8,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.8,
DEP-0195,P5.7,P5.8,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.8,
DEP-0196,D-17,P5.8,blocks,yes,decided,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.8,
DEP-0197,G4,P5.9,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.9,
DEP-0198,P1.13,P5.9,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.9,
DEP-0199,P5.1,P5.9,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.9,
DEP-0200,P5.4,P5.9,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.9,
DEP-0201,G4,P5.10,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.10,
DEP-0202,P1.13,P5.10,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.10,
DEP-0203,P4.10,P5.10,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.10,
DEP-0204,P5.5,P5.10,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.10,
DEP-0205,P5.6,P5.10,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.10,
DEP-0206,P5.7,P5.10,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.10,
DEP-0207,P5.8,P5.10,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P5.10,
DEP-0208,G4,P6.1,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P6.1,
DEP-0209,D-03,P6.1,blocks,yes,decided,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P6.1,
DEP-0210,D-10,P6.1,blocks,yes,decided,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P6.1,
DEP-0211,G4,P6.2,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P6.2,
DEP-0212,D-03,P6.2,blocks,yes,decided,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P6.2,
DEP-0213,D-10,P6.2,blocks,yes,decided,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P6.2,
